Region,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
OECD Asia Oceania,974.567006,1022.017481,1156.173763,1163.464578,1139.945478,1179.419913,1231.782719,1231.02105,1271.874441,1238.270575,1221.229172,1204.021177,1206.939754,1287.349693,1285.307155,1294.488819,1319.770688,1420.876012,1474.680838,1599.932133,1637.57662,1676.136095,1702.78315,1788.568879,1841.937796,1893.091215,1915.847681,1839.323138,1916.627059,1998.162761,2010.303288,2049.639828,2063.44554,2094.437935,2097.165914,2089.547154,2150.991874,2102.09921,2062.986835,2164.722566,2239.728122,2288.804657,2279.901873,2215.562548,2205.143235,2208.564996,2205.233568,2160.491951,2136.544649
Austria,48.607013,50.407481,53.809202,51.134609,49.488796,53.948382,51.327818,53.665985,55.916144,54.355279,51.554551,49.777713,49.400116,50.970218,52.649019,51.640992,52.387548,50.340348,50.396354,56.239523,60.41507,55.559835,55.768797,56.183019,59.549049,63.265768,62.456823,63.070928,61.44494,61.820269,66.191275,67.631905,72.707588,74.005823,74.439147,72.145288,69.111525,68.596658,62.621017,68.336998,66.605479,63.438355,64.095876,60.353212,61.452106,61.66542,64.118116,61.468298,62.7509774
Belgium,117.980409,127.971686,133.081563,130.928862,115.556917,124.648283,123.416566,128.767615,132.333205,125.549715,115.083487,108.702242,99.939941,101.884815,100.991897,101.276348,101.340339,103.036148,104.379202,106.488647,111.080073,109.240269,107.026349,111.722421,111.313683,116.439404,113.472717,116.237806,112.401484,114.004607,115.382773,107.857199,112.569091,111.185727,107.676772,105.533637,101.500283,103.901054,96.871149,103.890892,92.80816,92.315416,94.068984,87.516749,92.847538,91.886517,90.4776,91.175713,90.6038974
Czech Republic,153.472803,152.415259,149.353694,148.492885,154.982193,159.828856,169.335137,165.308103,174.865251,167.969147,168.595288,171.257307,172.464159,175.139297,175.254229,175.249367,176.287479,172.840757,165.297689,150.20313,136.901718,131.672672,128.787162,122.499166,123.17479,124.62453,122.708428,116.852822,109.982816,121.230494,121.092364,117.124548,121.280735,121.810545,118.369879,118.850264,121.58171,116.309075,109.59992,112.460232,109.318664,105.653832,101.384367,98.267535,99.42453,101.159746,101.690554,100.749119,95.6854997
Denmark,55.421772,57.404664,56.252823,50.01681,52.645648,58.309554,59.935162,59.55137,63.078842,63.060801,52.871383,55.048467,51.689977,53.285354,61.031807,61.596683,59.815039,55.990847,50.176541,50.983247,61.203694,55.32047,57.702239,61.616444,58.385219,71.637803,61.886608,57.966888,54.780958,50.833866,52.412499,52.122679,57.522118,51.880485,48.524936,56.431166,51.663967,48.693869,46.959299,47.288433,42.066014,37.171576,38.896978,34.709752,32.507165,34.100207,31.960309,32.022456,28.7309945
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.014553,31.361006,23.459792,18.094223,17.547848,15.887426,16.846492,16.430864,15.856769,14.839012,14.449567,14.912659,14.507424,16.495636,16.551014,16.751663,15.475165,19.257702,17.690275,14.700665,18.570033,17.636968,16.372417,18.788978,17.399668,15.162391,15.462677,15.971263,15.696684,11.6106494
Finland,39.854757,43.610247,47.924706,44.208844,44.188917,50.402788,50.02907,54.638502,54.120236,54.865628,45.547032,44.086131,42.605679,43.959901,48.284914,48.450357,52.188243,51.473099,51.503329,53.83361,54.563823,51.806988,53.100465,59.564032,55.714578,62.192974,60.173993,56.817756,56.031327,54.592688,60.584543,62.954778,71.241465,67.154133,54.918043,66.45099,64.497212,56.040308,53.795592,62.000673,54.562684,48.907929,49.706581,45.690084,42.354365,45.152969,42.401662,43.753389,41.5099755
France,423.373262,438.776231,474.377986,456.558521,423.108047,463.082467,448.854244,467.903295,474.560633,455.214051,407.159088,389.602131,373.927891,361.496257,351.797985,341.624471,335.131586,333.55392,349.263213,345.59939,370.301331,359.31274,340.932562,335.700427,343.648115,359.52364,351.029466,372.496344,366.61764,364.674799,368.205343,362.524159,368.282713,368.883466,371.708144,362.43398,353.57422,349.331244,336.203512,340.052059,325.46767,328.82567,329.326297,297.550653,303.916894,306.067258,309.87204,303.478088,293.2319904
Germany,978.142404,1001.573959,1052.182398,1025.899087,973.365909,1029.249705,1013.471761,1051.706583,1099.049164,1048.150693,1015.86694,974.527147,976.079878,995.679968,1004.256098,1006.959344,997.133446,989.620447,965.797773,940.007684,917.644162,877.601541,871.821904,859.106392,856.596915,887.062102,854.919715,846.943854,814.959373,812.311609,831.479218,817.9019,820.688397,804.624916,786.931288,798.68176,767.019443,773.893025,720.182549,758.848288,731.241683,745.141688,763.651811,723.111731,729.684402,734.487052,718.794085,696.131381,659.0989218
Greece,25.064815,28.936554,33.724807,32.259338,34.099717,38.825879,40.195782,42.652071,44.8846,45.176142,44.651873,45.941543,49.128441,50.82252,54.479901,54.349543,59.811273,63.806074,68.754275,69.857367,70.101974,72.315889,72.215903,73.81484,76.478485,76.379728,77.353692,80.744241,81.029466,87.923582,90.041816,90.283202,93.848627,93.480598,95.156324,94.103838,97.902891,94.35162,90.15818,83.36947,82.117228,76.986345,68.845177,65.726678,64.543218,63.076623,63.110531,61.602208,56.8298172
Hungary,60.253993,62.096771,66.405318,68.758533,70.172709,73.341083,76.925831,84.813745,83.386443,82.613644,81.711327,82.055388,78.436297,80.477088,79.755472,78.257251,79.11138,74.451866,72.969751,65.669979,63.450196,57.143078,57.360438,56.603263,56.245319,57.343904,55.81608,56.131297,56.686536,53.280264,54.923444,54.17392,56.774935,55.060802,54.722182,54.161519,52.522404,51.753214,46.866409,47.145132,46.343688,42.748798,40.246668,40.059462,42.708351,43.777954,45.762629,45.601765,45.707822
Iceland,1.404192,1.498085,1.666275,1.661571,1.614157,1.59045,1.634358,1.75792,1.826956,1.746981,1.73625,1.563521,1.595157,1.694824,1.627919,1.701378,1.743663,1.827492,1.82425,1.895898,1.865972,1.899651,1.944589,2.054057,1.964286,2.2259,2.108493,2.100158,2.054977,2.161026,2.10556,2.205535,2.194304,2.269524,2.23538,2.272645,2.319835,2.121787,2.07988,1.949182,1.868728,1.859894,2.031822,2.047533,2.057458,2.064863,2.171843,2.196439,1.8948153
Ireland,21.642664,21.399217,20.829591,22.601027,21.14887,21.876159,23.487669,23.205516,27.053334,25.895837,25.700614,25.275324,25.123352,24.904511,26.453225,27.464475,29.104186,28.103304,29.240265,30.111854,30.730081,30.835749,30.994577,32.050536,32.636823,33.99215,35.000215,37.607302,39.114385,40.914679,43.062092,42.181915,42.091792,42.568425,44.426067,45.460283,44.646054,44.244091,39.689701,39.525628,35.392401,35.922024,34.607634,34.088184,35.339777,36.91126,35.692587,35.273544,33.3885397
Italy,289.40186,306.537251,328.081933,331.43441,317.060307,341.984762,332.594158,338.274617,353.929429,355.353186,345.953201,341.146179,336.38258,341.984101,342.046885,343.29086,362.713597,366.820724,384.750302,389.411983,388.384128,385.844311,382.857911,378.495511,401.104969,398.163469,401.287301,411.832176,417.730612,420.436632,420.18139,427.183051,445.257756,454.994798,456.431826,449.184459,441.461104,428.854473,383.717096,391.99233,384.107414,366.677218,337.575729,319.155267,329.662166,325.657076,321.481224,317.141123,302.7753574
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.777406,17.201457,13.832925,11.741535,10.14694,8.90254,8.903572,8.420937,8.027839,7.410166,6.841156,7.247275,7.234721,7.464371,7.479639,7.58061,8.030694,8.36029,7.938214,7.185957,8.087541,7.340252,6.99556,6.911939,6.723727,6.845608,6.799011,6.679644,7.1893,6.7661271
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.215171,34.286939,19.227404,15.372335,14.43084,13.434207,13.914716,13.557513,14.294702,11.899931,10.221743,10.870211,10.931246,10.938091,11.56326,12.443951,12.502004,12.684005,12.610744,11.40734,12.314715,11.525294,11.531329,10.868843,10.462848,10.550273,10.750005,10.771645,11.134892,11.1356688
Luxembourg,16.472252,16.117636,17.447977,16.012065,12.739168,13.641986,12.956887,14.160969,13.262431,12.450372,10.536409,9.8801,9.23984,10.109488,10.335311,10.018153,9.425361,9.872817,10.640486,10.745619,11.238352,10.915149,11.213037,10.3234,8.225746,8.308623,7.800141,7.121573,7.454772,8.065071,8.689852,9.374964,9.852439,11.232303,11.493299,11.30179,10.704137,10.640149,10.08492,10.664187,10.514577,10.311125,9.781443,9.288168,8.804662,8.501982,8.627174,8.948689,9.2022592
Netherlands,127.679118,142.500883,148.450095,140.148814,131.96201,140.723494,138.521472,143.012102,153.154959,145.417303,143.265879,134.919353,130.472621,135.309153,138.396723,141.461874,145.369314,143.337963,146.408543,147.774816,153.812146,152.595442,157.538409,156.688132,163.58274,173.220894,165.882191,166.264879,160.906912,161.617322,166.590316,166.903642,169.919079,171.658709,167.48966,163.262344,164.115298,164.822973,160.072111,170.762343,158.412075,157.155685,156.790967,149.502726,157.858417,158.034178,155.611718,150.868938,142.803703
Norway,23.001052,23.558764,23.368386,22.698546,23.603322,25.342984,26.583372,27.084161,28.798385,27.235484,25.468887,24.325871,24.409682,25.060867,26.41565,29.715102,27.581476,27.732835,27.092949,27.467411,25.954421,28.86254,30.53143,32.115959,31.408419,32.365369,34.117481,35.756729,37.220763,31.879214,32.889232,32.503989,35.070291,35.59359,34.500489,35.46211,36.037798,35.305649,35.683365,40.009478,38.207537,37.123595,36.936774,37.004386,37.242034,36.54085,35.590325,36.039988,26.0412108
Poland,287.362329,299.576749,312.790456,325.211998,338.900005,362.484716,375.04704,400.148279,406.116245,416.002259,385.785133,391.823647,394.117859,409.705611,422.392233,428.165065,443.657954,432.783268,413.572442,344.761599,346.210886,337.830357,338.869406,333.109212,333.337838,349.101188,337.887996,312.080092,302.800082,289.591377,288.640036,282.610945,293.129945,296.744997,296.261105,308.078167,306.294687,301.597403,291.471973,307.493273,303.187965,296.94125,292.406679,279.258971,282.70842,293.21141,305.824953,305.747659,292.8532959
Portugal,14.39064,14.549996,16.191536,16.487656,18.03111,19.347863,18.751929,19.756023,21.888958,23.753098,24.876933,25.369701,26.080652,25.040854,23.924909,27.251645,27.757947,28.861277,37.138387,37.892592,39.49669,43.638028,42.597798,44.01086,47.23115,45.354497,47.370573,52.063633,58.380644,57.852184,57.756555,61.694897,56.907576,58.12475,61.385798,56.444866,54.63161,52.832438,53.076554,47.561335,47.054931,45.670308,43.741204,42.835055,46.930899,46.46041,50.800016,47.245308,43.8334113
Slovak Republic,38.86586,39.294049,40.971941,41.841452,43.153699,43.689704,45.418863,50.650177,51.543254,55.77679,54.433055,52.820219,52.701815,54.566712,54.413304,51.687045,53.500042,54.299712,53.652459,54.811844,47.938153,44.789172,43.290931,40.586974,41.215629,41.07411,41.05845,39.581515,38.833148,36.882231,37.368026,36.900369,37.409645,36.213452,37.262253,36.484264,35.705258,35.423774,32.608964,34.572279,32.854943,31.251081,31.7854,29.171089,29.444719,30.159706,32.212012,31.630618,28.8556066
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.666341,14.104534,13.912162,13.886753,13.528758,12.737375,12.440548,13.2675,13.223313,14.063911,14.853948,15.284084,15.042995,14.445537,14.050959,14.875062,15.081149,14.96615,15.234875,15.443058,15.799301,15.75268,16.7983,15.109682,15.446955,15.427293,14.8584,14.211939,12.756345,12.805132,13.585628,13.731418,13.64007,13.0718264
Spain,119.087492,125.005222,139.380677,150.904352,155.843041,172.513826,165.222225,164.244725,174.772942,186.254122,190.241666,184.473437,187.942251,178.735175,173.024021,177.339513,178.122654,181.317427,198.712406,202.627254,210.399736,221.929588,208.165769,216.952715,228.207254,217.984598,235.853132,242.405531,263.870515,278.58432,279.776769,297.223349,302.617664,319.270327,333.709777,325.036263,337.863101,309.774101,276.085744,262.05419,264.873766,260.511562,235.161326,232.063766,247.06714,237.6125,253.987917,248.890885,229.8602673
Sweden,82.047455,82.173712,83.562243,76.514404,79.041446,85.860411,82.90431,77.583881,80.106144,73.120121,66.199147,60.477769,54.964725,54.040213,58.385814,59.86253,58.027618,55.592392,52.787524,52.077321,53.099292,55.656924,55.412879,57.379813,56.934868,62.422399,56.276569,57.230416,56.125853,51.989465,51.165348,52.743719,53.996718,52.309331,48.891155,47.454322,45.797316,44.753192,41.616152,46.806949,43.229578,40.671113,39.145274,37.695891,37.665262,37.238183,36.845604,34.514885,32.4511897
Switzerland,38.918813,39.387906,42.985846,38.506848,36.753441,38.581554,38.995933,40.108769,38.6529,39.262145,36.929691,34.94201,39.073131,38.547587,41.77273,41.673944,40.019383,39.87331,39.475012,40.745537,43.418813,43.594563,41.539021,40.482996,41.450386,42.214998,41.141318,42.64029,42.922109,41.983768,43.396658,41.882314,43.185481,43.53191,44.003701,43.626267,41.65623,43.104464,41.820623,43.252821,39.267287,40.660125,41.64817,37.844565,37.315489,37.837575,36.862212,35.714759,36.323362
Turkey,41.736699,49.055633,52.754934,55.306318,59.631229,66.674617,72.221079,73.033463,67.555819,71.522558,71.126823,77.569191,83.281541,87.715162,95.358471,103.308135,113.729963,108.735235,120.704121,128.757861,131.776117,136.527179,142.529535,140.333088,154.020479,170.677706,178.328421,178.397553,178.061404,201.216509,182.681138,192.59759,203.138607,207.391162,215.883046,240.243619,266.187786,262.354961,261.267158,267.833992,287.191198,298.42777,285.178612,307.171546,318.973757,338.874454,378.63109,374.128805,371.4096648
United Kingdom,621.136913,602.249049,634.238978,595.189739,576.041678,582.095187,592.90971,591.088378,623.134969,570.574002,554.44485,541.404192,533.135429,516.151536,543.545262,558.074689,562.619047,561.12725,547.411859,549.390011,560.129215,547.520737,530.617893,523.225784,513.796422,533.808846,511.895623,514.529284,511.948885,520.562588,535.303236,521.177335,533.471636,533.390964,531.648669,532.89988,521.733018,507.897104,460.083887,476.626011,439.178828,461.442481,447.002723,408.662693,394.021547,372.352897,359.943776,352.362605,339.2211476
OECD Europe,3625.318567,3726.097004,3929.833365,3842.776689,3733.132336,3968.04471,3960.740376,4073.116249,4223.991243,4101.319358,3919.739507,3826.988583,3792.193014,3817.281212,3886.593779,3920.418764,3966.578538,3935.398512,3941.949132,3956.890065,3985.70282,3881.373541,3821.294597,3799.967982,3848.511246,3983.903328,3909.518824,3920.095372,3879.954247,3909.971989,3957.82469,3947.512444,4053.02285,4064.209525,4050.288222,4077.810885,4044.581564,3961.634159,3701.019399,3818.915419,3687.802305,3675.572546,3594.798195,3426.118284,3479.89372,3489.428411,3529.623947,3464.347608,3307.647998
Albania,3.86277,4.446404,3.923777,4.11133,4.338334,4.677358,4.958544,5.619529,6.694873,6.811556,5.843743,6.10404,6.659463,7.213175,6.929926,6.951616,7.232079,7.160662,6.839342,5.67294,3.811206,2.137383,1.976262,2.033466,1.848549,1.863265,1.427657,1.759716,2.921647,3.083446,3.224186,3.750324,3.822396,4.00711,3.825184,3.792392,3.775922,3.708694,3.76623,3.930295,4.141866,3.484832,3.646202,4.123018,3.824801,3.674183,4.342011,4.303084,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.845219,20.68956,10.656529,4.918989,2.675926,3.368027,2.403509,3.15662,3.283226,2.931684,3.422249,3.458504,2.907291,3.275246,3.465509,4.129845,4.151024,4.797638,5.27332,4.269475,4.048253,4.672815,5.438573,5.242694,5.23536,5.101485,4.911897,5.165501,5.394895,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.483702,52.059429,42.438849,37.359606,33.277753,32.37242,27.072982,26.273674,26.255564,25.764911,27.305747,25.834096,25.514806,27.832395,27.404575,29.018489,29.39629,26.695627,28.81145,24.521671,23.532476,26.449925,28.894746,29.462078,30.793666,30.806159,31.409359,30.805851,30.946865,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.853942,96.24192,86.861446,75.376819,64.029732,56.957863,57.830418,58.209163,56.302595,54.086516,52.118664,50.910249,50.783747,51.374764,54.465767,55.014095,57.239347,55.727318,58.444199,55.31833,59.498219,56.38236,57.595686,57.549168,56.801809,52.618265,53.005054,54.019949,57.089856,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.96557,21.440971,15.905387,13.343319,3.064876,3.279823,4.129145,8.415171,10.645188,10.401709,13.718183,13.500826,14.21871,14.546432,15.186631,15.857733,17.462209,18.415091,20.240004,20.204495,20.482682,23.400889,21.645003,21.510392,19.172421,19.306465,22.019403,22.327978,22.219505,..
Bulgaria,63.830958,65.873207,67.731105,68.77888,73.315187,73.199135,75.957976,79.019714,82.248604,85.032429,81.057132,82.702959,81.280696,79.378318,82.206429,83.16401,84.220593,83.155829,82.559497,71.463722,57.371692,54.057769,54.540543,52.108309,52.737289,53.136273,51.82572,49.489089,43.210523,42.138072,44.972856,42.436775,46.646286,45.758507,46.288947,47.446186,50.680922,48.163785,41.989054,44.044939,48.882236,44.140187,38.924379,41.31961,43.58102,40.54088,42.803157,39.892842,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.328917,14.62919,14.124214,14.803147,13.987237,14.774177,14.650527,16.24561,17.609329,17.371297,16.782763,17.753863,18.853992,20.181196,19.58836,19.917214,19.977214,21.222283,20.164387,19.064566,18.248777,17.950446,16.419845,15.901102,15.117108,15.512642,15.858564,16.193172,15.294397,..
Cyprus,1.744456,2.170397,2.275467,1.735447,1.658258,1.93937,2.115335,2.233691,2.428702,2.574554,2.528048,2.571672,2.62128,2.739296,2.765082,3.033896,3.595126,3.650016,3.814409,3.89137,4.444337,4.748779,4.941288,5.145025,5.048341,5.348298,5.471654,5.814504,6.072801,6.305013,6.188862,6.343101,7.017641,6.907324,7.047944,7.113808,7.4253,7.579383,7.502392,7.260554,7.000736,6.515882,5.630061,5.776906,5.900866,6.2692,6.37667,6.309698,..
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.488258,25.505906,19.869603,15.971906,10.403349,8.136847,6.328856,5.482123,4.909639,4.384622,4.632649,3.381844,2.819756,3.01999,3.204913,4.065656,4.525622,5.453393,4.666914,5.292218,4.995027,5.953731,6.609908,7.218385,7.848712,8.529812,8.957157,8.939837,8.770364,..
Gibraltar,0.068532,0.05923,0.059001,0.059048,0.062036,0.062083,0.058987,0.05583,0.077759,0.093542,0.087168,0.096578,0.087108,0.08389,0.090096,0.115457,0.127532,0.142825,0.136391,0.142765,0.202559,0.239888,0.242984,0.287117,0.280803,0.287056,0.296418,0.312033,0.324492,0.340046,0.349409,0.355662,0.361914,0.393159,0.405663,0.424375,0.421157,0.430445,0.471038,0.474195,0.45858,0.467989,0.499159,0.536595,0.586523,0.611636,0.626536,0.69444,..
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,237.250885,246.365956,252.398442,216.238023,194.435994,170.519468,148.261303,125.620091,128.265938,115.894314,112.014087,109.245504,119.577281,134.803148,146.417341,156.902433,172.937357,187.204832,230.259087,202.716188,221.101402,234.81722,233.846139,249.15968,197.876844,199.093105,216.216668,218.759874,214.011727,..
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.104602,6.47382,6.435991,6.773643,6.842717,6.639156,6.701349,7.030455,7.570421,8.397258,8.695947,8.605458,8.117446,8.296504,7.392382,8.605689,9.081173,8.16855,8.278001,..
Kyrgyzstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.762333,20.42288,13.296698,9.794203,6.364922,4.45854,5.527695,5.398613,5.719911,4.619704,4.450168,3.761835,4.737819,5.260549,5.187071,4.8919,4.877132,5.963378,7.006248,6.521635,6.040358,7.21138,9.563712,8.720018,9.032259,9.683685,9.192628,8.841761,10.494429,..
Malta,0.655077,0.828296,0.794404,0.725875,0.651329,0.740289,0.781007,0.91718,0.892115,0.992263,1.125603,1.292897,0.970494,1.327076,1.15807,1.874862,1.964633,2.138238,2.318848,2.314617,2.210602,2.169051,2.806275,2.506954,2.378847,2.324338,2.469612,2.374492,2.409246,2.12916,2.489089,2.318417,2.60802,2.598015,2.621893,2.646157,2.711098,2.718652,2.504597,2.580576,2.567454,2.709905,2.365959,2.347587,1.65214,1.347847,1.516529,1.547485,..
Republic of Moldova,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.532115,24.599519,19.847857,17.008407,13.809785,11.892994,10.20956,9.310281,8.433962,7.141631,6.536841,6.843851,6.963168,7.519818,7.493321,7.810491,7.517954,7.436466,7.360146,7.298791,7.946552,7.918591,7.698491,6.705483,7.249277,7.57852,7.710688,7.527683,7.961947,..
Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.004798,2.179294,2.098407,2.693314,1.747481,2.584208,2.535667,2.331593,2.267307,2.218423,2.358285,2.112994,2.225062,2.517172,..
Republic of North Macedonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.591283,8.383742,8.332391,8.639659,8.350826,8.305696,9.862495,8.786101,9.651408,8.879545,8.522107,8.670612,8.128537,8.829072,8.542584,8.917292,8.912976,9.339666,9.12527,8.502029,8.319696,9.148742,8.792818,7.8537,7.436958,7.133668,6.947428,7.41955,6.932149,..
Romania,114.671667,118.342977,129.115526,129.79499,140.600336,153.509375,160.745392,174.373152,178.746919,177.369151,178.701875,176.472288,178.706238,174.90482,174.876064,180.005639,188.877836,193.787767,189.850617,168.188564,139.173936,123.087012,114.805639,112.321691,117.587815,120.752931,110.418687,96.476601,82.855418,86.222025,91.340662,90.949271,96.97367,93.74113,92.632653,95.285763,92.38187,91.070886,77.431117,74.725473,80.859371,78.578501,69.312297,68.466683,69.55857,67.962637,70.78876,71.57133,..
