Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
OECD Asia Oceania,12.854097,15.049251,21.342124,25.926059,28.572846,34.527586,42.723628,54.022381,61.479199,69.644694,73.77124,78.107827,81.710694,103.150261,110.980302,114.204137,122.052355,129.026085,136.114172,156.828531,164.847675,170.25661,176.709951,187.879619,197.99037,211.332206,223.039773,225.309196,243.621111,255.353282,261.983564,274.986522,276.748107,287.592448,291.33103,314.641034,344.669797,344.740027,343.309534,376.53088,417.36599,433.545663,446.587213,440.987212,423.635496,438.070023,440.905438,441.241735
Austria,5.421162,5.986549,6.518562,7.217445,7.137316,8.145652,8.25774,8.661257,8.751078,8.274301,7.811157,7.61364,7.652668,8.645605,9.490505,9.345648,9.783649,9.244011,9.958647,11.443356,12.091194,12.151781,12.610635,13.276952,14.520267,15.480386,14.906113,15.335732,15.606307,14.716422,15.829524,15.732533,16.959641,17.33246,18.244473,17.022392,16.074458,16.955942,16.507845,18.18919,17.223438,16.462684,15.880971,14.324604,15.358322,15.920174,17.481991,16.713548
Belgium,11.329704,14.403737,15.18618,17.928544,17.388453,18.993328,18.651713,18.527608,20.647482,19.62516,17.871895,14.5648,15.5849,16.152054,16.171543,14.433728,16.242178,15.777923,17.809792,18.342714,19.552858,19.80243,20.775221,21.248919,23.352383,26.136249,24.812553,27.667611,29.223864,29.509436,29.562652,30.408309,32.146125,32.662334,31.936844,33.038737,33.025812,32.92872,33.607053,36.788832,30.648743,31.631885,31.81582,27.882765,30.390814,31.15229,31.551908,32.70773
Czech Republic,1.865706,2.026063,2.225094,2.712878,3.105892,3.429028,3.89697,4.366628,4.899196,5.643368,5.661393,5.996899,7.035933,7.489232,9.173377,9.71675,10.624863,10.737506,11.059885,11.514547,11.338337,12.650219,12.804517,12.759833,14.602566,16.972517,17.456968,17.365581,17.582486,17.090108,18.396941,17.788638,18.039925,18.108894,17.873157,17.537399,16.588287,16.246823,15.288978,17.34387,15.817709,15.585253,15.823465,14.017185,14.730205,15.985437,16.48963,15.601523
Denmark,0,0.000454,0.000858,0.000505,0.000858,0.000606,0.001161,0.00101,0.00106,0.000959,0.045643,0.071999,0.120923,0.330154,1.479458,2.577262,3.344155,3.662545,3.920852,4.174665,4.739598,4.991543,5.664372,6.353056,7.3725,8.69978,9.171912,9.97637,10.497679,10.438707,10.870598,10.860096,10.990916,10.942495,10.513128,10.718875,9.591081,9.644297,9.249111,10.365546,8.756885,8.210482,7.739259,6.681519,6.78907,6.999492,6.797208,6.717946
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.441646,2.48325,1.479862,0.753866,0.936034,1.090079,1.233319,1.195755,1.118606,1.091139,1.321525,1.418466,1.335259,1.457697,1.564988,1.602957,1.623506,1.623556,1.537168,1.203176,1.321222,1.182123,1.256191,1.142184,1.023028,0.9171,1.005912,0.953504,0.971478
Finland,0,0,0,0.906598,1.480619,1.732514,1.754629,1.907764,1.905896,1.723476,1.430331,1.283607,1.252606,1.492788,1.901705,2.331224,3.089937,3.306035,4.326135,5.063995,5.357797,5.559201,5.745762,6.336444,6.582786,6.886886,6.77697,7.7641,7.772178,7.958537,8.635153,8.574565,9.49116,9.14379,8.366345,8.942334,8.272584,8.458791,7.548457,8.34004,7.294189,6.450804,6.00417,5.383143,4.63478,4.065708,3.711671,4.245047
France,17.725625,21.920032,25.687595,27.682505,30.751894,34.498605,36.032239,38.474087,43.709344,44.186677,45.648463,44.332442,46.608935,48.73007,51.111178,52.045546,52.924628,51.340908,52.902615,53.352429,60.903108,61.460518,61.868174,61.45562,62.816376,69.666658,68.867249,70.658433,74.617454,77.915663,82.675658,83.140571,86.879658,88.652008,91.507521,89.608036,86.339617,89.407944,88.605557,94.56989,83.193892,86.195379,87.211107,72.726344,78.283794,85.885447,86.410272,82.277208
Germany,38.420972,50.028673,64.827646,80.376899,84.145372,89.626162,96.042078,103.133802,111.85075,111.263904,107.326088,99.92789,102.132232,102.832529,101.094007,103.039841,111.637177,111.092289,114.165816,115.22848,123.742861,122.654499,129.076776,135.438465,144.947903,162.33873,155.002785,156.190714,157.691731,155.872274,163.005854,162.823989,166.210707,166.9055,168.707942,172.110059,166.053027,172.995048,161.123789,176.726714,159.870174,161.116619,163.681764,147.328053,152.190088,166.954223,170.186949,171.148956
Greece,0,0,0,0,0,0,0,0,0,0,0,0.110977,0.100223,0.083914,0.043775,0.091942,0.092801,0.086944,0.100475,0.097446,0.103606,0.089923,0.08548,0.098506,0.094164,0.107342,0.302587,1.228927,2.511272,3.689405,3.790537,4.058941,4.46478,4.925855,5.216071,6.124336,7.491908,7.84034,6.264951,6.719108,8.204271,7.533259,6.796914,5.002145,5.396826,7.739057,8.83957,8.432263
