Region,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belgium,44.224184,46.176202,47.42864,51.484155,38.646734,40.39501,40.033659,41.138789,42.040553,41.870685,41.304594,40.799133,37.19933,41.410942,39.219484,35.357383,35.441839,37.073009,38.629517,40.41019,39.318406,35.682278,33.69871,36.487149,34.746166,33.105678,31.533546,31.152184,27.61117,30.254264,29.180283,24.433173,23.781702,22.011135,20.642383,19.286907,17.402309,17.903221,10.704148,14.002807,13.041344,12.063244,13.115749,12.398393,12.418279,11.76292,11.532201,11.420715
Czech Republic,132.041713,129.077492,122.712169,120.575681,124.23614,128.087172,134.65063,130.404798,138.842522,132.147139,132.110702,137.009393,138.816302,140.211396,138.920608,138.868144,138.865185,137.201563,128.703514,116.576692,106.132179,98.231519,95.970398,90.531627,91.43219,90.059123,87.761854,80.689804,74.155361,86.241161,83.485012,80.225968,82.646376,82.045619,78.03694,79.158575,81.976533,77.249023,72.290299,74.07061,72.682936,69.642581,65.875546,63.474884,62.881703,63.261355,62.608411,62.195529
Denmark,6.083362,5.529892,7.914259,6.797653,8.120401,11.446085,13.102285,14.15276,17.168529,24.190948,19.257334,23.314267,21.958677,23.601055,28.97757,29.26178,28.709272,26.801453,22.063268,24.178319,32.789164,27.321117,28.638526,30.764993,25.753102,35.36261,26.311597,22.341943,18.771454,15.731957,16.636301,16.661549,22.728809,17.403507,14.685722,22.068119,18.486637,16.25302,15.969298,15.519702,12.920144,10.128984,12.865751,10.203012,7.268336,8.405815,6.288574,6.445003
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.576701,20.72362,17.381421,12.575738,12.198178,11.337286,11.860794,11.588717,11.129972,10.463211,10.42449,10.339665,10.004153,11.930982,11.901972,11.995773,10.679491,14.363905,12.981915,10.630957,14.233699,13.406486,11.996762,14.250985,13.126389,10.856166,10.95701,11.562822,11.32951
Finland,8.653621,9.625401,10.389676,10.587484,9.624318,12.929756,13.232305,17.996632,17.358555,20.124314,12.913892,13.65293,14.395323,16.170047,20.30084,18.580267,20.885799,20.679297,20.404005,21.690878,22.807655,20.377894,22.746974,27.227808,23.806369,29.461741,27.857002,23.015842,22.553363,21.634272,25.838119,28.067819,34.924263,31.547907,20.796927,31.680493,29.913931,22.993984,22.358045,28.781691,23.540433,18.958598,20.800408,18.729122,16.260135,18.056944,16.558558,17.286589
France,140.115613,123.721951,123.302074,122.489737,108.285501,122.56811,123.092392,119.874493,126.142855,125.562532,111.275966,114.583051,103.380998,100.071005,94.472712,80.689975,73.541894,73.84204,80.404624,75.90941,81.081332,72.036382,55.712141,55.903397,59.257176,62.845226,57.832491,67.661166,60.081811,59.596438,50.097361,51.799321,53.178268,51.741877,55.894018,52.560521,54.988725,50.194221,42.240074,45.600378,39.485437,43.771705,46.256491,34.325374,33.480413,30.568502,35.01766,37.896359
Germany,558.043211,547.870292,555.679799,556.003259,499.466918,531.56658,511.916551,523.342628,555.408687,561.240841,570.977737,558.534819,566.570035,591.38963,591.524722,573.797935,565.192785,562.095079,560.39212,516.183211,460.837715,419.993256,400.670328,392.335099,380.338936,382.77133,365.082168,356.23941,337.578249,345.905778,348.25888,349.50273,356.855549,347.982869,334.529694,340.907955,350.940996,324.821432,292.075081,314.317764,314.089701,324.985008,333.406336,317.175473,315.971318,303.893822,284.336293,273.068043
Greece,6.71473,7.501399,8.414094,8.733931,10.840354,13.076848,13.522002,12.546695,13.647186,13.221853,14.867107,16.024828,19.914565,21.191158,24.826669,25.317841,27.980429,30.69371,33.028246,33.519148,32.370735,34.416036,34.571335,35.842948,37.086599,33.688518,33.484084,34.301309,33.73849,38.29543,39.270722,37.858254,38.35555,39.011597,38.537997,35.350211,37.325101,36.079377,35.735474,33.556859,33.322611,33.567115,29.265893,27.448594,23.621572,20.06523,19.975665,19.762478
Hungary,35.861618,35.019467,35.768997,34.660129,33.760091,35.013979,35.01522,38.394532,37.804211,37.331638,36.93097,38.069693,36.490446,36.95551,35.576228,34.756195,34.8472,33.071675,31.084625,24.622156,23.199331,19.306932,18.412295,17.83976,17.548569,17.35321,16.494164,16.210643,16.479603,15.560529,14.972476,14.696946,15.127584,14.494416,12.54412,12.196156,12.253819,11.929766,10.206913,10.660521,10.813246,10.459034,9.112165,8.987792,9.34688,8.692851,8.909134,8.106149
Iceland,0.002495,0.002495,0.002495,0,0,0,0,0,0.058424,0.074625,0.13295,0.129127,0.181965,0.253469,0.268567,0.298413,0.240998,0.244463,0.253493,0.269613,0.274683,0.192691,0.18832,0.282366,0.229865,0.269825,0.235832,0.277378,0.240517,0.41116,0.388619,0.405845,0.384476,0.433284,0.415325,0.370014,0.444462,0.391139,0.357643,0.377471,0.38011,0.389397,0.407928,0.364196,0.388337,0.41325,0.428116,0.456114
Ireland,8.925153,8.30962,6.93345,7.997007,7.250963,7.596325,8.044515,6.882311,8.504346,8.097621,8.6793,9.159959,9.817291,9.422308,10.70025,11.563984,14.817456,14.976359,15.232955,14.697526,14.167322,13.734004,13.202402,12.488435,12.49753,12.4979,11.675885,11.753446,10.076642,10.642109,11.223416,10.987587,10.572611,9.937175,11.020659,9.849739,9.589673,9.429517,8.309593,8.176721,8.106395,9.381728,8.456229,8.340058,9.041395,8.680127,7.431623,5.827725
Italy,32.609076,30.810803,30.424599,35.318826,31.349445,35.034592,35.099128,34.324948,39.580125,44.434951,48.85107,52.476483,47.521137,56.618363,59.79523,54.897545,56.141108,52.851669,52.536871,56.563443,53.338818,44.891456,39.499118,42.284457,45.458757,41.582363,41.758663,42.64792,41.817806,43.945054,49.131946,50.708297,55.628362,63.422818,63.830342,61.851219,61.931947,59.775189,47.517355,52.442645,59.129304,61.14991,53.114729,51.160184,47.930905,42.666454,37.063345,34.332711
