Region,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
OECD Asia Oceania,658.706077,693.707332,808.432094,804.179274,776.69704,808.421055,852.911846,865.888212,876.645482,809.096561,766.641864,726.619768,728.556495,744.465485,704.11604,715.354142,725.38555,787.601385,827.154684,899.414541,920.603831,955.429099,959.245819,1016.469461,1036.867846,1039.349834,1026.978571,950.183925,985.362275,984.519348,957.768545,968.551701,960.534354,948.853479,942.21525,899.724108,904.209078,843.899167,797.272541,812.742053,841.524934,860.02884,833.501863,783.170789,774.317208,766.652996,749.67678,723.699601
Austria,26.895957,29.153118,31.96393,27.975422,28.499914,30.988431,30.634202,32.129305,33.210199,31.930878,28.517992,27.575518,26.297365,24.707515,25.367686,26.442917,26.712298,25.895368,25.567725,27.199495,29.654421,28.474322,29.878254,29.247515,29.492851,32.257816,31.351987,33.304802,31.359649,30.746748,32.985927,34.256224,36.674426,37.001216,37.752921,36.334865,34.747422,33.873237,31.928166,32.78347,31.038922,29.878534,30.668875,29.658813,30.130759,30.511616,31.287909,31.0806
Belgium,62.426521,67.391748,70.466743,61.516162,59.52173,65.259945,64.731194,69.101218,69.645171,64.05387,55.906998,53.050134,46.551821,43.710585,44.860474,50.672373,48.941147,49.444695,47.199502,46.302169,50.645741,51.934692,50.736599,52.02986,51.182552,55.281262,55.177752,55.424145,53.309175,51.980687,53.928042,50.506813,53.813694,53.745099,52.740726,50.47802,47.840443,49.94834,49.130145,49.555756,45.544329,45.137912,45.814922,43.9613,46.798093,45.686551,44.276616,43.81345
Czech Republic,19.565383,21.311704,24.416431,25.204325,27.64016,28.312656,30.787538,30.536677,31.123533,30.178639,30.823193,28.251015,26.611924,27.438669,27.160244,26.664473,26.797431,24.901688,25.534291,22.047304,19.361829,20.706282,19.901566,19.05015,16.972334,17.42349,17.233591,18.451906,17.869206,17.443396,18.622151,18.56364,19.975274,20.836655,21.510557,21.259014,21.978471,21.755038,20.917984,19.933131,19.615621,19.197487,18.509056,19.39263,20.266689,20.212443,20.894276,21.003097
Denmark,49.338411,51.686057,48.149445,43.030392,44.31733,46.636915,46.605767,45.171651,45.672025,38.631666,33.317331,31.397555,29.330326,29.061897,30.266207,29.437057,27.441029,25.203698,23.854323,21.990656,22.983972,22.273385,22.598433,23.660256,24.314464,26.545805,25.298389,24.551293,24.309362,23.409113,23.575492,23.203342,22.292095,21.9964,21.766543,22.058588,21.945736,21.083595,20.11725,19.830714,18.803309,17.290999,16.746272,16.227441,16.8119,17.064785,17.238294,17.273345
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.996206,8.154137,4.598509,4.764618,4.413636,3.460061,3.752378,3.646393,3.608191,3.284662,2.703552,3.154528,3.168013,3.106957,3.084054,3.152933,3.172167,3.27024,3.171192,2.866531,3.015111,3.048359,3.119464,2.995263,2.988172,3.130898,3.229056,3.18534,3.17325
Finland,31.201136,33.984847,37.53503,32.714762,33.076277,35.711357,35.006832,34.697242,34.82048,32.980974,31.156775,29.10356,26.919328,26.264788,26.051649,27.506128,28.182705,27.447419,26.732841,27.049942,26.370311,25.843759,24.582237,25.975937,25.307542,24.897486,24.479178,25.036319,24.899966,24.658912,25.666999,25.807474,26.278101,25.870419,25.227581,25.348514,25.831173,24.037823,23.236388,24.226311,23.08068,22.652006,21.990139,20.556889,20.449858,21.935171,20.917011,20.988139
France,265.532025,293.134249,325.388316,306.386279,284.070652,306.015752,289.729613,309.554715,304.708433,285.464842,250.234658,230.686637,223.937958,212.695181,206.214094,208.888949,208.665065,208.370971,213.973604,214.137575,225.910958,223.406882,220.940261,215.911268,218.80669,224.153376,221.422652,231.181181,228.568025,223.597676,231.72471,223.662533,224.113784,224.066524,220.244845,216.342497,207.941632,205.224266,200.545846,195.010864,195.861566,191.749829,188.646536,183.238601,184.5931,181.814317,181.265977,175.374962
Germany,381.678221,403.674995,431.674953,386.630185,386.749333,404.916684,402.478816,421.961172,428.110051,372.133867,334.364205,312.439246,304.591256,298.506718,308.971277,327.528549,317.893648,313.342563,288.367539,303.705456,327.949432,329.106356,335.881107,324.802051,323.859611,333.668191,326.052821,324.362085,312.369481,301.870391,308.235856,294.681002,292.891246,284.873971,276.610744,277.372049,240.510629,262.138667,249.899853,249.429325,239.252917,240.568875,248.258218,239.373667,242.497246,243.278884,244.154235,233.326176
Greece,18.350085,21.435155,25.310713,23.525407,23.259363,25.749031,26.673779,30.105376,31.237414,31.954289,29.784766,29.805738,29.113653,29.547448,29.609457,28.93976,31.738043,33.02542,35.625555,36.240774,37.627633,37.54538,37.381626,37.56322,39.074642,42.344773,43.316056,44.928435,44.398609,45.558081,46.750184,48.143641,50.828241,49.33651,51.253535,52.595973,53.052562,50.407879,48.133588,42.901741,40.422321,35.796596,32.656101,33.151815,34.991144,34.912405,34.295296,33.234075
